Groep;KRWwatertype.code;Abundatieklasse;Categorie;Score;
;R7;2;4;0;
;R7;2;5;-4;
;R7;3;1;3;
;R7;3;2;1;
;R7;3;3;0;
;R7;3;4;-3;
;R7;3;5;-9;
;R8;1;1;9;
;R8;1;2;5;
;R8;1;3;2;
;R8;1;4;0;
;R8;1;5;0;
;R8;2;1;6;
;R8;2;2;4;
;R8;2;3;1;
;R8;2;4;0;
;R8;2;5;-4;
;R8;3;1;3;
;R8;3;2;1;
;R8;3;3;0;
;R8;3;4;-3;
;R8;3;5;-9;
;R11;1;1;9;
;R11;1;2;5;
;R11;1;3;2;
;R11;1;4;1;
;R11;1;5;0;
;R11;2;1;6;
;R11;2;2;4;
;R11;2;3;1;
;R11;2;4;0;
;R11;2;5;-4;
;R11;3;1;3;
;R11;3;2;1;
;R11;3;3;0;
;R11;3;4;-3;
;R11;3;5;-9;
;R12;1;1;9;
;R12;1;2;5;
;R12;1;3;2;
;R12;1;4;0;
;R12;1;5;0;
;R12;2;1;6;
;R12;2;2;4;
;R12;2;3;1;
;R12;2;4;0;
;R12;2;5;-4;
;R12;3;1;3;
;R12;3;2;1;
;R12;3;3;0;
;R12;3;4;-3;
;R12;3;5;-9;
;R13;1;1;9;
;R13;1;2;5;
;R13;1;3;2;
;R13;1;4;0;
;R13;1;5;0;
;R13;2;1;6;
;R13;2;2;4;
;R13;2;3;1;
;R13;2;4;0;
;R13;2;5;-4;
;R13;3;1;3;
;R13;3;2;1;
;R13;3;3;0;
;R13;3;4;-3;
;R13;3;5;-9;
;R14;1;1;9;
;R14;1;2;5;
;R14;1;3;2;
;R14;1;4;0;
;R14;1;5;0;
;R14;2;1;6;
;R14;2;2;4;
;R14;2;3;1;
;R14;2;4;0;
;R14;2;5;-4;
;R14;3;1;3;
;R14;3;2;1;
;R14;3;3;0;
;R14;3;4;-3;
;R14;3;5;-9;
;R15;1;1;9;
;R15;1;2;5;
;R15;1;3;2;
;R15;1;4;0;
;R15;1;5;0;
;R15;2;1;6;
;R15;2;2;4;
;R15;2;3;1;
;R15;2;4;0;
;R15;2;5;-4;
;R15;3;1;3;
;R15;3;2;1;
;R15;3;3;0;
;R15;3;4;-3;
;R15;3;5;-9;
;R16;1;1;9;
;R16;1;2;5;
;R16;1;3;2;
;R16;1;4;0;
;R16;1;5;0;
;R16;2;1;6;
;R16;2;2;4;
;R16;2;3;1;
;R16;2;4;0;
;R16;2;5;-4;
;R16;3;1;3;
;R16;3;2;1;
;R16;3;3;0;
;R16;3;4;-3;
;R16;3;5;-9;
;R17;1;1;9;
;R17;1;2;5;
;R17;1;3;2;
;R17;1;4;0;
;R17;1;5;0;
;R17;2;1;6;
;R17;2;2;4;
;R17;2;3;1;
;R17;2;4;0;
;R17;2;5;-4;
;R17;3;1;3;
;R17;3;2;1;
;R17;3;3;0;
;R17;3;4;-3;
;R17;3;5;-9;
;R18;1;1;9;
;R18;1;2;5;
;R18;1;3;2;
;R18;1;4;0;
;R18;1;5;0;
;R18;2;1;6;
;R18;2;2;4;
;R18;2;3;1;
;R18;2;4;0;
;R18;2;5;-4;
;R18;3;1;3;
;R18;3;2;1;
;R18;3;3;0;
;R18;3;4;-3;
;R18;3;5;-9;
Hydrofyten;M1a;1;1;3;
Hydrofyten;M1a;1;2;3;
Hydrofyten;M1a;1;3;2;
Hydrofyten;M1a;1;4;1;
Hydrofyten;M1a;1;5;0;
Hydrofyten;M1a;2;1;5;
Hydrofyten;M1a;2;2;4;
Hydrofyten;M1a;2;3;2;
Hydrofyten;M1a;2;4;0;
Hydrofyten;M1a;2;5;-1;
Hydrofyten;M1a;3;1;6;
Hydrofyten;M1a;3;2;4;
Hydrofyten;M1a;3;3;0;
Hydrofyten;M1a;3;4;-1;
Hydrofyten;M1a;3;5;-3;
Hydrofyten;M1b;1;1;3;
Hydrofyten;M1b;1;2;3;
Hydrofyten;M1b;1;3;2;
Hydrofyten;M1b;1;4;1;
Hydrofyten;M1b;1;5;0;
Hydrofyten;M1b;2;1;5;
Hydrofyten;M1b;2;2;4;
Hydrofyten;M1b;2;3;2;
Hydrofyten;M1b;2;4;0;
Hydrofyten;M1b;2;5;-1;
Hydrofyten;M1b;3;1;6;
Hydrofyten;M1b;3;2;4;
Hydrofyten;M1b;3;3;0;
Hydrofyten;M1b;3;4;-1;
Hydrofyten;M1b;3;5;-3;
Hydrofyten;M2;1;1;3;
Hydrofyten;M2;1;2;3;
Hydrofyten;M2;1;3;2;
Hydrofyten;M2;1;4;1;
Hydrofyten;M2;1;5;0;
Hydrofyten;M2;2;1;5;
Hydrofyten;M2;2;2;4;
Hydrofyten;M2;2;3;2;
Hydrofyten;M2;2;4;0;
Hydrofyten;M2;2;5;-1;
Hydrofyten;M2;3;1;6;
Hydrofyten;M2;3;2;4;
Hydrofyten;M2;3;3;0;
Hydrofyten;M2;3;4;-1;
Hydrofyten;M2;3;5;-3;
Hydrofyten;M3;1;1;3;
Hydrofyten;M3;1;2;3;
Hydrofyten;M3;1;3;2;
Hydrofyten;M3;1;4;1;
Hydrofyten;M3;1;5;0;
Hydrofyten;M3;2;1;5;
Hydrofyten;M3;2;2;4;
Hydrofyten;M3;2;3;2;
Hydrofyten;M3;2;4;0;
Hydrofyten;M3;2;5;-1;
Hydrofyten;M3;3;1;6;
Hydrofyten;M3;3;2;4;
Hydrofyten;M3;3;3;0;
Hydrofyten;M3;3;4;-1;
Hydrofyten;M3;3;5;-3;
Hydrofyten;M4;1;1;3;
Hydrofyten;M4;1;2;3;
Hydrofyten;M4;1;3;2;
Hydrofyten;M4;1;4;1;
Hydrofyten;M4;1;5;0;
Hydrofyten;M4;2;1;5;
Hydrofyten;M4;2;2;4;
Hydrofyten;M4;2;3;2;
Hydrofyten;M4;2;4;0;
Hydrofyten;M4;2;5;-1;
Hydrofyten;M4;3;1;6;
Hydrofyten;M4;3;2;4;
Hydrofyten;M4;3;3;0;
Hydrofyten;M4;3;4;-1;
Hydrofyten;M4;3;5;-3;
Hydrofyten;M6a;1;1;3;
Hydrofyten;M6a;1;2;3;
Hydrofyten;M6a;1;3;2;
Hydrofyten;M6a;1;4;1;
Hydrofyten;M6a;1;5;0;
Hydrofyten;M6a;2;1;5;
Hydrofyten;M6a;2;2;4;
Hydrofyten;M6a;2;3;2;
Hydrofyten;M6a;2;4;0;
Hydrofyten;M6a;2;5;-1;
Hydrofyten;M6a;3;1;6;
Hydrofyten;M6a;3;2;4;
Hydrofyten;M6a;3;3;0;
Hydrofyten;M6a;3;4;-1;
Hydrofyten;M6a;3;5;-3;
Hydrofyten;M6b;1;1;3;
Hydrofyten;M6b;1;2;3;
Hydrofyten;M6b;1;3;2;
Hydrofyten;M6b;1;4;1;
Hydrofyten;M6b;1;5;0;
Hydrofyten;M6b;2;1;5;
Hydrofyten;M6b;2;2;4;
Hydrofyten;M6b;2;3;2;
Hydrofyten;M6b;2;4;0;
Hydrofyten;M6b;2;5;-1;
Hydrofyten;M6b;3;1;6;
Hydrofyten;M6b;3;2;4;
Hydrofyten;M6b;3;3;0;
Hydrofyten;M6b;3;4;-1;
Hydrofyten;M6b;3;5;-3;
Hydrofyten;M7a;1;1;3;
Hydrofyten;M7a;1;2;3;
Hydrofyten;M7a;1;3;2;
Hydrofyten;M7a;1;4;1;
Hydrofyten;M7a;1;5;0;
Hydrofyten;M7a;2;1;5;
Hydrofyten;M7a;2;2;4;
Hydrofyten;M7a;2;3;2;
Hydrofyten;M7a;2;4;0;
Hydrofyten;M7a;2;5;-1;
Hydrofyten;M7a;3;1;6;
Hydrofyten;M7a;3;2;4;
Hydrofyten;M7a;3;3;0;
Hydrofyten;M7a;3;4;-1;
Hydrofyten;M7a;3;5;-3;
Hydrofyten;M7b;1;1;3;
Hydrofyten;M7b;1;2;3;
Hydrofyten;M7b;1;3;2;
Hydrofyten;M7b;1;4;1;
Hydrofyten;M7b;1;5;0;
Hydrofyten;M7b;2;1;5;
Hydrofyten;M7b;2;2;4;
Hydrofyten;M7b;2;3;2;
Hydrofyten;M7b;2;4;0;
Hydrofyten;M7b;2;5;-1;
Hydrofyten;M7b;3;1;6;
Hydrofyten;M7b;3;2;4;
Hydrofyten;M7b;3;3;0;
Hydrofyten;M7b;3;4;-1;
Hydrofyten;M7b;3;5;-3;
Hydrofyten;M8;1;1;3;
Hydrofyten;M8;1;2;3;
Hydrofyten;M8;1;3;2;
Hydrofyten;M8;1;4;1;
Hydrofyten;M8;1;5;0;
Hydrofyten;M8;2;1;5;
Hydrofyten;M8;2;2;4;
Hydrofyten;M8;2;3;2;
Hydrofyten;M8;2;4;0;
Hydrofyten;M8;2;5;-1;
Hydrofyten;M8;3;1;6;
Hydrofyten;M8;3;2;4;
Hydrofyten;M8;3;3;0;
Hydrofyten;M8;3;4;-1;
Hydrofyten;M8;3;5;-3;
Hydrofyten;M9;1;1;3;
Hydrofyten;M9;1;2;3;
Hydrofyten;M9;1;3;2;
Hydrofyten;M9;1;4;1;
Hydrofyten;M9;1;5;0;
Hydrofyten;M9;2;1;5;
Hydrofyten;M9;2;2;4;
Hydrofyten;M9;2;3;2;
Hydrofyten;M9;2;4;0;
Hydrofyten;M9;2;5;-1;
Hydrofyten;M9;3;1;6;
Hydrofyten;M9;3;2;4;
Hydrofyten;M9;3;3;0;
Hydrofyten;M9;3;4;-1;
Hydrofyten;M9;3;5;-3;
Hydrofyten;M10;1;1;3;
Hydrofyten;M10;1;2;3;
Hydrofyten;M10;1;3;2;
Hydrofyten;M10;1;4;1;
Hydrofyten;M10;1;5;0;
Hydrofyten;M10;2;1;5;
Hydrofyten;M10;2;2;4;
Hydrofyten;M10;2;3;2;
Hydrofyten;M10;2;4;0;
Hydrofyten;M10;2;5;-1;
Hydrofyten;M10;3;1;6;
Hydrofyten;M10;3;2;4;
Hydrofyten;M10;3;3;0;
Hydrofyten;M10;3;4;-1;
Hydrofyten;M10;3;5;-3;
Helofyten;M1a;1;1;9;
Helofyten;M1a;1;2;5;
Helofyten;M1a;1;3;2;
Helofyten;M1a;1;4;1;
Helofyten;M1a;1;5;0;
Helofyten;M1a;2;1;8;
Helofyten;M1a;2;2;4;
Helofyten;M1a;2;3;1;
Helofyten;M1a;2;4;0;
Helofyten;M1a;2;5;-2;
Helofyten;M1a;3;1;6;
Helofyten;M1a;3;2;3;
Helofyten;M1a;3;3;0;
Helofyten;M1a;3;4;-3;
Helofyten;M1a;3;5;-9;
Helofyten;M1b;1;1;9;
Helofyten;M1b;1;2;5;
Helofyten;M1b;1;3;2;
Helofyten;M1b;1;4;1;
Helofyten;M1b;1;5;0;
Helofyten;M1b;2;1;8;
Helofyten;M1b;2;2;4;
Helofyten;M1b;2;3;1;
Helofyten;M1b;2;4;0;
Helofyten;M1b;2;5;-2;
Helofyten;M1b;3;1;6;
Helofyten;M1b;3;2;3;
Helofyten;M1b;3;3;0;
Helofyten;M1b;3;4;-3;
Helofyten;M1b;3;5;-9;
Helofyten;M2;1;1;9;
Helofyten;M2;1;2;5;
Helofyten;M2;1;3;2;
Helofyten;M2;1;4;1;
Helofyten;M2;1;5;0;
Helofyten;M2;2;1;8;
Helofyten;M2;2;2;4;
Helofyten;M2;2;3;1;
Helofyten;M2;2;4;0;
Helofyten;M2;2;5;-2;
Helofyten;M2;3;1;6;
Helofyten;M2;3;2;3;
Helofyten;M2;3;3;0;
Helofyten;M2;3;4;-3;
Helofyten;M2;3;5;-9;
Helofyten;M3;1;1;9;
Helofyten;M3;1;2;5;
Helofyten;M3;1;3;2;
Helofyten;M3;1;4;1;
Helofyten;M3;1;5;0;
Helofyten;M3;2;1;8;
Helofyten;M3;2;2;4;
Helofyten;M3;2;3;1;
Helofyten;M3;2;4;0;
Helofyten;M3;2;5;-2;
Helofyten;M3;3;1;6;
Helofyten;M3;3;2;3;
Helofyten;M3;3;3;0;
Helofyten;M3;3;4;-3;
Helofyten;M3;3;5;-9;
Helofyten;M4;1;1;9;
Helofyten;M4;1;2;5;
Helofyten;M4;1;3;2;
Helofyten;M4;1;4;1;
Helofyten;M4;1;5;0;
Helofyten;M4;2;1;8;
Helofyten;M4;2;2;4;
Helofyten;M4;2;3;1;
Helofyten;M4;2;4;0;
Helofyten;M4;2;5;-2;
Helofyten;M4;3;1;6;
Helofyten;M4;3;2;3;
Helofyten;M4;3;3;0;
Helofyten;M4;3;4;-3;
Helofyten;M4;3;5;-9;
Helofyten;M6a;1;1;9;
Helofyten;M6a;1;2;5;
Helofyten;M6a;1;3;2;
Helofyten;M6a;1;4;1;
Helofyten;M6a;1;5;0;
Helofyten;M6a;2;1;8;
Helofyten;M6a;2;2;4;
Helofyten;M6a;2;3;1;
Helofyten;M6a;2;4;0;
Helofyten;M6a;2;5;-2;
Helofyten;M6a;3;1;6;
Helofyten;M6a;3;2;3;
Helofyten;M6a;3;3;0;
Helofyten;M6a;3;4;-3;
Helofyten;M6a;3;5;-9;
Helofyten;M6b;1;1;9;
Helofyten;M6b;1;2;5;
Helofyten;M6b;1;3;2;
Helofyten;M6b;1;4;1;
Helofyten;M6b;1;5;0;
Helofyten;M6b;2;1;8;
Helofyten;M6b;2;2;4;
Helofyten;M6b;2;3;1;
Helofyten;M6b;2;4;0;
Helofyten;M6b;2;5;-2;
Helofyten;M6b;3;1;6;
Helofyten;M6b;3;2;3;
Helofyten;M6b;3;3;0;
Helofyten;M6b;3;4;-3;
Helofyten;M6b;3;5;-9;
Helofyten;M7a;1;1;9;
Helofyten;M7a;1;2;5;
Helofyten;M7a;1;3;2;
Helofyten;M7a;1;4;1;
Helofyten;M7a;1;5;0;
Helofyten;M7a;2;1;8;
Helofyten;M7a;2;2;4;
Helofyten;M7a;2;3;1;
Helofyten;M7a;2;4;0;
Helofyten;M7a;2;5;-2;
Helofyten;M7a;3;1;6;
Helofyten;M7a;3;2;3;
Helofyten;M7a;3;3;0;
Helofyten;M7a;3;4;-3;
Helofyten;M7a;3;5;-9;
Helofyten;M7b;1;1;9;
Helofyten;M7b;1;2;5;
Helofyten;M7b;1;3;2;
Helofyten;M7b;1;4;1;
Helofyten;M7b;1;5;0;
Helofyten;M7b;2;1;8;
Helofyten;M7b;2;2;4;
Helofyten;M7b;2;3;1;
Helofyten;M7b;2;4;0;
Helofyten;M7b;2;5;-2;
Helofyten;M7b;3;1;6;
Helofyten;M7b;3;2;3;
Helofyten;M7b;3;3;0;
Helofyten;M7b;3;4;-3;
Helofyten;M7b;3;5;-9;
Helofyten;M8;1;1;9;
Helofyten;M8;1;2;5;
Helofyten;M8;1;3;2;
Helofyten;M8;1;4;1;
